geometry,polygon_index,sampled_lat,sampled_lng,pulled_lat,pulled_lng,pulled_panoid,image_url
POINT (-83.69424066280465 42.27633579265114),872ab259effffff,42.27633579265114,-83.69424066280465,42.27657912915267,-83.69480047511358,CAoSLEFGMVFpcE4xRlNZaXQtZEpDN3drakNLU1VZRzdyTmpnMHpNTnM1cUhqbG1D,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.27657912915267,-83.69480047511358&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
POINT (-83.71030510731094 42.245487700558364),872ab259affffff,42.245487700558364,-83.71030510731094,42.24562347927689,-83.71048938601962,CAoSLEFGMVFpcE1MYWUyMFJBV2E5eGQ0VGhaY1RiMVpmdGtyejVCR3JwRURoYjIy,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.24562347927689,-83.71048938601962&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
POINT (-83.69140241947906 42.29340317468583),872ab2591ffffff,42.29340317468583,-83.69140241947906,42.29322029204991,-83.69143987657178,rTP_VOJjYOEW7I9Mexk7dA,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.29322029204991,-83.69143987657178&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
POINT (-83.75298283543212 42.27549887930392),87274996cffffff,42.27549887930392,-83.75298283543212,42.27545601729745,-83.75355594394321,KwJOm28wDs9wJz8pthtBvg,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.27545601729745,-83.75355594394321&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
POINT (-83.78839238130986 42.277905788988456),87274996effffff,42.277905788988456,-83.78839238130986,42.27815043201792,-83.78801313834333,5PGKhHV3c10M2NAjCZJtkQ,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.27815043201792,-83.78801313834333&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
POINT (-83.79089814010058 42.29848651650837),872749963ffffff,42.29848651650837,-83.79089814010058,42.29840293034329,-83.7896784987306,lcpqMlbWmfYLGYwvjYVRig,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.29840293034329,-83.7896784987306&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
POINT (-83.73050207792399 42.23967219750458),872ab24b4ffffff,42.23967219750458,-83.73050207792399,42.23960388928855,-83.73089975371377,hx982cDroyYMoAhDDAJfVQ,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.23960388928855,-83.73089975371377&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
POINT (-83.72884020555547 42.31662136373602),872ab2596ffffff,42.31662136373602,-83.72884020555547,42.31646695857322,-83.72881769266425,QB6XfYmXFR0rkbW1chSOfA,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.31646695857322,-83.72881769266425&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
POINT (-83.73201264058014 42.31157269613086),872ab2592ffffff,42.31157269613086,-83.73201264058014,42.3131096158389,-83.73273265545978,Mx6AzQIRJ7J22vzAJgde1g,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.3131096158389,-83.73273265545978&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
POINT (-83.72703556881079 42.27426612776422),87274996dffffff,42.27426612776422,-83.72703556881079,42.27393578565747,-83.72783098942026,rC5Ope6gdb-rsFhR4Q5Cww,"https://maps.googleapis.com/maps/api/streetview?size=600x400&location=42.27393578565747,-83.72783098942026&source=outdoor&key=AIzaSyAHLgPbnRKFxi9OChS5RjAN8caL2_B7qrw"
